,MSE,RMSE,Time (s),Order
ARIMA,1662015.5563096073,1289.191822930012,8.69131851196289,"(3, 1, 3)"
SARIMA,1123956.7417559628,1060.168261058575,8.635647058486938,"(2, 0, 4, (0, 1, 1, 12))"
ETS,2269067.200273108,1506.3423250619721,0.3740410804748535,
